supplier_id,company_name,contact_name,city,country
1,Exotic Liquids,Charlotte Cooper,London,UK
2,New Orleans Cajun Delights,Shelley Burke,New Orleans,USA
3,Grandma Kelly's Homestead,Regina Murphy,Ann Arbor,USA
4,Tokyo Traders,Yoshi Nagase,Tokyo,Japan
5,Cooperativa de Quesos,Antonio del Valle,Oviedo,Spain
6,Mayumi's,Mayumi Ohno,Osaka,Japan
7,"Pavlova, Ltd.",Ian Devling,Melbourne,Australia
8,"Specialty Biscuits, Ltd.",Peter Wilson,Manchester,UK
9,PB Knäckebröd AB,Lars Peterson,Gothenburg,Sweden
10,Refrescos Americanas LTDA,Carlos Diaz,Sao Paulo,Brazil
